Latitude,Longitude,Altitude
45.7773364722222,10.2617521944444,656.44
45.7773369444444,10.2617259444444,656.406
45.7773380833333,10.2616246944444,656.441
45.7773395,10.2615235277778,656.39
45.7773401944444,10.2614189722222,656.425
45.7773330833333,10.2613258333333,656.485
45.7772909444444,10.2613134166667,656.467
45.7772367777778,10.2613609166667,656.47
45.7772148888889,10.26145375,656.422
45.7772128055556,10.2615535,656.441
45.7772109166667,10.2616557222222,656.41
45.7772075833333,10.26175875,656.427
45.7771760277778,10.2618421388889,656.434
45.7771142777778,10.2618774166667,656.479
45.7770845,10.2618355277778,656.429
45.7770825277778,10.2617419444444,656.441
45.7770826944444,10.2616403611111,656.431
45.7770825,10.2615393888889,656.431
45.7770538611111,10.2614873055556,656.462
45.7770019166667,10.2615144722222,656.417
45.7769617222222,10.2615918055556,656.387
45.7769564722222,10.2616928888889,656.427
45.7769544444444,10.2617957222222,656.457
45.7769520555556,10.2618978055556,656.464
45.7769290833333,10.2619873611111,656.458
45.7768698055556,10.2620324444444,656.458
45.7768301111111,10.2620074166667,656.409
45.7768266944444,10.2619214722222,656.379
45.7768263888889,10.2618185555556,656.39
45.7768245555556,10.2617183333333,656.415
45.7767955555556,10.2616683611111,656.447
45.7767430833333,10.2616973333333,656.436
45.776704,10.2617767777778,656.428
45.7766989444444,10.2618756666667,656.405
45.7766969166667,10.2619784166667,656.47
45.7766934722222,10.2620805277778,656.425
45.77665875,10.2621615833333,656.43
45.7765991388889,10.2621949722222,656.517
45.7765710555556,10.2621503055556,656.462
45.7765693055556,10.2620548611111,656.421
45.77656975,10.2619538055556,656.394
45.7765608611111,10.2618642777778,656.421
45.7765170833333,10.261856,656.406
45.7764628611111,10.2619059444444,656.433
45.7764433888889,10.2619996666667,656.384
45.7764400277778,10.2621108333333,656.408
45.7764383055556,10.262204,656.453
45.7764187222222,10.2622973055556,656.394
45.7763604722222,10.2623484722222,656.428
45.7763170555556,10.2623299166667,656.465
45.77631175,10.2622449722222,656.491
45.7763120277778,10.2621429722222,656.447
45.7763046944444,10.2620495277778,656.45
45.7762635833333,10.2620325555556,656.471
45.7762081388889,10.2620806944444,656.473
45.7761868055556,10.2621698611111,656.452
45.7761966388889,10.26225775,656.451
45.7762488888889,10.2622695833333,656.412
45.7763156944444,10.2622399722222,656.435
45.7763828333333,10.2622077777778,656.412
45.7764495833333,10.2621756388889,656.428
45.7765185555556,10.2621424166667,656.435
45.7765853333333,10.2621100555556,656.441
45.7766543055556,10.262077,656.459
45.7767208333333,10.2620443888889,656.457
45.7767890555556,10.2620113333333,656.438
45.7768563333333,10.2619790277778,656.419
45.7769251944444,10.26194525,656.428
45.77699275,10.2619123055556,656.442
45.7770599444444,10.2618793055556,656.427
45.7771269166667,10.2618468055556,656.447
45.7771959444444,10.2618133333333,656.442
45.7772637777778,10.2617816388889,656.446
45.7773313333333,10.2617479166667,656.436
45.7773985833333,10.2617268333333,656.456
45.7774562222222,10.2617421944444,656.438
45.7774641111111,10.2616894722222,656.422
45.7774666666667,10.2615852777778,656.417
45.7774674722222,10.261485,656.411
45.7774687777778,10.2613811388889,656.44
45.7774709444444,10.2612803888889,656.446
45.777495,10.261215,656.443
45.7775499444444,10.2612326388889,656.42
45.7775915833333,10.2613059166667,656.431
45.7775950555556,10.2614046388889,656.45
45.7775950555556,10.2615084444444,656.419
45.7775950555556,10.2616099166667,656.433
45.7775925555556,10.2617129722222,656.447
45.7775918888889,10.2618162222222,656.449
45.7776119722222,10.2619095277778,656.449
45.77766425,10.261976,656.417
45.7777082777778,10.26197325,656.426
45.7777171666667,10.2618984444444,656.405
45.7777192222222,10.2617932222222,656.413
45.7777199166667,10.2616920833333,656.44
45.7777206388889,10.2615896666667,656.444
45.7777220833333,10.2614864166667,656.456
45.7777404444444,10.2614140277778,656.481
45.7777871111111,10.2614284166667,656.451
45.7778363333333,10.2614967777778,656.429
45.7778466666667,10.2615935277778,656.401
45.7778468611111,10.26169525,656.416
